"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"93","Sileighty","1117671$7.66%1.12m","201","81","95.87%","4,030.5",""
"98","Raynu","1023944$7.02%1.02m","201","93","95.45%","3,692.5",""
"95","Koruptd","988516$6.78%988.5k","195","97","96.22%","3,564.7",""
"78","Freakheal","984783$6.75%984.8k","192","88","95.88%","3,551.3",""
"81","Brewcorona","959024$6.57%959.0k","202","52","85.46%","3,458.4",""
"85","Tinytotem","942309$6.46%942.3k","198","70","91.38%","3,398.1",""
"89","Mowmowbeer","927707$6.36%927.7k","198","80","95.68%","3,345.5",""
"69","Rolandd","918326$6.29%918.3k","195","64","95.53%","3,311.6",""
"84","Darklonfury","895303$6.14%895.3k","199","68","95.51%","3,228.6",""
"80","Metaphor","869852$5.96%869.9k","193","84","95.98%","3,136.8",""
"49","Mistrogers","827600$5.67%827.6k","186","79","94.36%","2,984.5",""
"54","Cabowabo","768563$5.27%768.6k","195","39","96.17%","2,771.6",""
"50","Mizeria","737378$5.05%737.4k","195","39","96.22%","2,659.1",""
"29","Stimmah","676675$4.64%676.7k","193","29","95.35%","2,440.2",""
"21","Gangbear","600247$4.11%600.2k","184","44","80.85%","2,164.6",""
"96","Celestian","594272$4.07%594.3k","195","97","90.55%","2,143.0",""
"8","Gingwizard","301592$2.07%301.6k","192","7","44.16%","1,087.6",""
"7","Kazuzu","193190$1.32%193.2k","200","6","56.61%","696.7",""
"25","Tothemoon","164486$1.13%164.5k","200","13","64.41%","593.2",""
"68","Niyoko","93064$0.64%93.1k","188","71","53.81%","335.6",""
"26","Joeronin","4033$0.03%4.0k","194","25","6.49%","14.5",""
