"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","1276744$11.25%1.28m","59.95%","210","76.19%","3,630.8",""
"Alloc","1045641$9.21%1.05m","51.53%","204","80.29%","2,973.6",""
"Venrak","591697$5.21%591.7k","10.22%","210","82.44%","1,682.7",""
"Raynu","550454$4.85%550.5k","9.08%","212","40.88%","1,565.4",""
"Tothemoon","502989$4.43%503.0k","7.35%","208","41.64%","1,430.4",""
"Gruyere","484234$4.27%484.2k","6.99%","209","48.17%","1,377.1",""
"Sileighty","477231$4.20%477.2k","8.59%","207","61.38%","1,357.1",""
"Zultan","476657$4.20%476.7k","7.69%","208","62.76%","1,355.5",""
"Mowmowbeer","413947$3.65%413.9k","18.62%","208","62.91%","1,177.2",""
"Questions","409991$3.61%410.0k","25.63%","205","44.93%","1,165.9",""
"Brewcorona","403621$3.56%403.6k","7.06%","212","55.25%","1,147.8",""
"Direcrest","391233$3.45%391.2k","3.02%","202","22.63%","1,112.6",""
"Tinytotem","389422$3.43%389.4k","14.52%","205","50.11%","1,107.4",""
"Qenan","383372$3.38%383.4k","5.59%","208","52.39%","1,090.2",""
"Mistrogers","376719$3.32%376.7k","13.17%","200","62.48%","1,071.3",""
"Cowcoochie","366963$3.23%367.0k","6.76%","208","53.72%","1,043.6",""
"Darklonfury","343566$3.03%343.6k","9.43%","211","50.24%","977.0",""
"Antelope","334484$2.95%334.5k","16.92%","214","52.74%","951.2",""
"Tylelios","331979$2.92%332.0k","21.14%","207","33.46%","944.1",""
"Metaphor","323706$2.85%323.7k","13.20%","204","49.64%","920.6",""
"Kise","316585$2.79%316.6k","12.28%","206","49.97%","900.3",""
"Thielanth","301546$2.66%301.5k","16.38%","207","57.79%","857.5",""
"Joeronin","298213$2.63%298.2k","9.14%","202","20.71%","848.1",""
"Sneakysoul","264387$2.33%264.4k","10.77%","210","15.46%","751.9",""
"Lln","149634$1.32%149.6k","9.37%","201","10.43%","425.5",""
"Capzielor","147891$1.30%147.9k","5.94%","202","5.97%","420.6",""
