"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"88","Antelope","1247044$22.75%1.25m","44.95%","203","72","97.35%","4,239.7",""
"71","Quartus","1112957$20.31%1.11m","39.61%","201","52","99.17%","3,783.9",""
"20","Midou","763742$13.93%763.7k","42.52%","193","17","99.27%","2,596.6",""
"9","Suger","617638$11.27%617.6k","49.00%","190","9","88.61%","2,099.9",""
"95","Alloc","447972$8.17%448.0k","51.85%","195","95","90.44%","1,523.0",""
"83","Questions","200380$3.66%200.4k","40.52%","191","82","96.30%","681.3",""
"94","Direcrest","169571$3.09%169.6k","73.20%","196","93","71.97%","576.5",""
"51","Blevinz","152080$2.77%152.1k","42.11%","195","48","94.00%","517.0",""
"95","Tankd","151269$2.76%151.3k","25.59%","199","94","90.32%","514.3",""
"15","Spicyynoodle","148282$2.71%148.3k","8.62%","196","15","46.07%","504.1",""
"69","Zultan","90452$1.65%90.5k","4.60%","199","56","42.47%","307.5",""
"86","Thielanth","67876$1.24%67.9k","-","195","85","1.49%","230.8",""
"82","Cowcoochie","65243$1.19%65.2k","1.74%","194","82","65.56%","221.8",""
"46","Tylelios","49399$0.90%49.4k","22.33%","196","43","49.17%","167.9",""
"29","Deviljin","48566$0.89%48.6k","30.43%","183","38","38.49%","165.1",""
"61","Fallenembers","34549$0.63%34.5k","-","200","60","10.71%","117.5",""
"56","Venrak","33730$0.62%33.7k","0.63%","204","63","75.24%","114.7",""
"36","Rass","26649$0.49%26.6k","52.91%","202","35","34.56%","90.6",""
"20","Salocine","19724$0.36%19.7k","66.08%","202","18","70.37%","67.1",""
"16","Kise","16662$0.30%16.7k","4.58%","197","14","62.97%","56.6",""
"14","Sneakysoul","7179$0.13%7.2k","0.75%","203","20","73.42%","24.4",""
"28","Happychild","6688$0.12%6.7k","0.55%","198","27","70.27%","22.7",""
"-","Artificer Xy'mox","2587$0.05%2.6k","-","-","-","0.00%","8.8",""
"1","Exquisite","677$0.01%677.0","-","194","1","0.00%","2.3",""
