"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"79","Venrak","1604104$7.14%1.60m","210","66","82.45%","3,491.8",""
"88","Tinytotem","1544511$6.87%1.54m","205","92","92.51%","3,362.1",""
"64","Raynu","1499558$6.67%1.50m","212","31","81.84%","3,264.3",""
"40","Sileighty","1281389$5.70%1.28m","207","31","99.76%","2,789.4",""
"37","Brewcorona","1270363$5.65%1.27m","212","16","86.90%","2,765.3",""
"48","Metaphor","1223368$5.44%1.22m","204","51","87.30%","2,663.1",""
"45","Mowmowbeer","1160030$5.16%1.16m","208","35","67.15%","2,525.2",""
"55","Cowcoochie","1133845$5.04%1.13m","208","47","79.62%","2,468.2",""
"37","Direcrest","1123271$5.00%1.12m","202","49","78.66%","2,445.2",""
"31","Sneakysoul","1119008$4.98%1.12m","210","15","81.64%","2,435.9",""
"37","Darklonfury","1021780$4.55%1.02m","211","19","77.50%","2,224.2",""
"8","Thielanth","901740$4.01%901.7k","207","7","69.68%","1,962.9",""
"9","Zultan","890787$3.96%890.8k","208","8","97.81%","1,939.1",""
"56","Alloc","890224$3.96%890.2k","204","62","68.60%","1,937.9",""
"8","Questions","850045$3.78%850.0k","204","8","55.07%","1,850.4",""
"70","Kazuzu","846093$3.76%846.1k","210","57","86.36%","1,841.8",""
"8","Lln","813710$3.62%813.7k","202","9","58.42%","1,771.3",""
"8","Kise","754438$3.36%754.4k","206","7","50.37%","1,642.3",""
"8","Mistrogers","748764$3.33%748.8k","200","11","66.64%","1,629.9",""
"6","Capzielor","599554$2.67%599.6k","202","7","73.68%","1,305.1",""
"85","Tothemoon","373378$1.66%373.4k","207","84","86.96%","812.8",""
"64","Qenan","301824$1.34%301.8k","208","59","65.03%","657.0",""
"3","Tylelios","243773$1.08%243.8k","207","2","26.17%","530.6",""
"95","Antelope","166401$0.74%166.4k","214","84","49.33%","362.2",""
"66","Gruyere","106634$0.47%106.6k","210","60","29.37%","232.1",""
"35","Joeronin","10536$0.05%10.5k","202","37","9.49%","22.9",""
