"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","851754$14.50%851.8k","59.73%","202","70.56%","2,304.5",""
"Celestian","707275$12.04%707.3k","58.39%","195","70.03%","1,913.6",""
"Darklonfury","346416$5.90%346.4k","9.19%","199","60.29%","937.3",""
"Metaphor","309353$5.27%309.4k","9.02%","193","65.18%","837.0",""
"Tinytotem","298703$5.09%298.7k","6.75%","198","68.33%","808.2",""
"Sileighty","279985$4.77%280.0k","11.63%","201","65.40%","757.5",""
"Rolandd","265666$4.52%265.7k","8.26%","195","58.39%","718.8",""
"Gingwizard","260691$4.44%260.7k","6.04%","192","65.29%","705.3",""
"Tothemoon","259572$4.42%259.6k","6.89%","201","65.18%","702.3",""
"Mowmowbeer","240941$4.10%240.9k","12.80%","198","62.47%","651.9",""
"Niyoko","234368$3.99%234.4k","7.46%","188","65.18%","634.1",""
"Freakheal","231134$3.94%231.1k","9.03%","193","62.49%","625.4",""
"Mistrogers","227185$3.87%227.2k","18.67%","188","68.55%","614.7",""
"Raynu","220639$3.76%220.6k","11.92%","201","62.47%","597.0",""
"Mizeria","216024$3.68%216.0k","7.80%","196","65.18%","584.5",""
"Stimmah","213971$3.64%214.0k","4.38%","196","62.62%","578.9",""
"Brewcorona","205060$3.49%205.1k","4.89%","202","62.47%","554.8",""
"Koruptd","201535$3.43%201.5k","28.57%","195","60.09%","545.3",""
"Cabowabo","188010$3.20%188.0k","8.91%","195","58.88%","508.7",""
"Gangbear","114542$1.95%114.5k","6.93%","185","21.62%","309.9",""
