"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"97","Antelope","2514099$24.59%2.51m","30.58%","203","95","99.99%","5,464.8",""
"64","Quartus","1870473$18.29%1.87m","26.97%","201","49","99.72%","4,065.8",""
"38","Midou","1652156$16.16%1.65m","33.07%","193","37","99.77%","3,591.2",""
"31","Suger","1560062$15.26%1.56m","30.50%","190","34","94.64%","3,391.0",""
"24","Rass","623839$6.10%623.8k","27.84%","202","18","81.04%","1,356.0",""
"90","Questions","343208$3.36%343.2k","30.20%","191","90","86.05%","746.0",""
"39","Blevinz","227768$2.23%227.8k","28.83%","195","36","76.19%","495.1",""
"13","Spicyynoodle","218958$2.14%219.0k","11.53%","196","13","66.46%","475.9",""
"84","Alloc","210274$2.06%210.3k","48.62%","194","84","14.99%","457.1",""
"92","Zultan","201521$1.97%201.5k","2.42%","199","86","77.18%","438.0",""
"77","Direcrest","173729$1.70%173.7k","63.90%","196","75","74.54%","377.6",""
"59","Tankd","168592$1.65%168.6k","9.47%","199","52","96.72%","366.5",""
"65","Tylelios","112536$1.10%112.5k","32.82%","196","61","66.25%","244.6",""
"61","Deviljin","71910$0.70%71.9k","18.57%","183","72","40.54%","156.3",""
"46","Venrak","50088$0.49%50.1k","11.67%","204","49","77.72%","108.9",""
"40","Salocine","48823$0.48%48.8k","41.15%","202","40","73.16%","106.1",""
"20","Thielanth","32980$0.32%33.0k","-","195","19","11.45%","71.7",""
"15","Kise","29308$0.29%29.3k","30.43%","197","13","68.07%","63.7",""
"33","Sneakysoul","29064$0.28%29.1k","32.03%","204","38","67.03%","63.2",""
"17","Fallenembers","28588$0.28%28.6k","5.66%","200","13","11.72%","62.1",""
"39","Cowcoochie","27101$0.27%27.1k","10.15%","194","37","71.80%","58.9",""
"28","Happychild","16435$0.16%16.4k","0.82%","198","26","72.42%","35.7",""
"8","Exquisite","13163$0.13%13.2k","81.90%","194","7","2.42%","28.6",""
