"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"97","Sileighty","985898$7.90%985.9k","201","95","99.55%","4,672.0",""
"96","Tinytotem","898003$7.20%898.0k","198","96","98.47%","4,255.5",""
"99","Raynu","887277$7.11%887.3k","203","95","98.25%","4,204.7",""
"91","Brewcorona","859348$6.89%859.3k","201","80","99.26%","4,072.3",""
"95","Mowmowbeer","823862$6.61%823.9k","198","95","99.07%","3,904.2",""
"77","Freakheal","801644$6.43%801.6k","192","87","98.99%","3,798.9",""
"93","Koruptd","755048$6.05%755.0k","195","96","99.67%","3,578.1",""
"92","Darklonfury","752001$6.03%752.0k","199","85","99.55%","3,563.6",""
"66","Rolandd","740607$5.94%740.6k","194","64","98.61%","3,509.6",""
"86","Metaphor","715398$5.74%715.4k","192","93","99.05%","3,390.2",""
"59","Mistrogers","647956$5.20%648.0k","186","89","99.23%","3,070.6",""
"55","Cabowabo","622462$4.99%622.5k","195","36","98.87%","2,949.8",""
"37","Mizeria","550956$4.42%551.0k","194","26","93.31%","2,610.9",""
"96","Celestian","526230$4.22%526.2k","195","97","99.54%","2,493.7",""
"21","Stimmah","501066$4.02%501.1k","193","16","98.84%","2,374.5",""
"16","Gangbear","462312$3.71%462.3k","183","35","79.19%","2,190.8",""
"18","Gingwizard","359957$2.89%360.0k","192","12","78.58%","1,705.8",""
"64","Kazuzu","305384$2.45%305.4k","200","37","99.53%","1,447.2",""
"86","Tothemoon","211883$1.70%211.9k","200","75","99.35%","1,004.1",""
"71","Niyoko","60500$0.49%60.5k","186","75","62.91%","286.7",""
"39","Joeronin","4088$0.03%4.1k","194","38","8.53%","19.4",""
