"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","566836$9.17%566.8k","59.91%","200","91.59%","2,686.2",""
"Celestian","476709$7.71%476.7k","57.21%","195","72.97%","2,259.1",""
"Darklonfury","366670$5.93%366.7k","8.77%","199","62.97%","1,737.6",""
"Joeronin","303436$4.91%303.4k","7.07%","194","60.65%","1,437.9",""
"Stimmah","299162$4.84%299.2k","7.72%","193","60.71%","1,417.7",""
"Tothemoon","298372$4.83%298.4k","7.73%","200","62.87%","1,413.9",""
"Freakheal","297190$4.81%297.2k","8.28%","192","64.31%","1,408.3",""
"Mowmowbeer","295554$4.78%295.6k","11.57%","198","54.67%","1,400.6",""
"Rolandd","294279$4.76%294.3k","6.76%","194","60.65%","1,394.5",""
"Cabowabo","281195$4.55%281.2k","9.88%","195","60.58%","1,332.5",""
"Sileighty","279357$4.52%279.4k","6.27%","201","59.19%","1,323.8",""
"Brewcorona","270111$4.37%270.1k","5.29%","201","60.68%","1,280.0",""
"Tinytotem","266671$4.31%266.7k","11.17%","198","80.81%","1,263.7",""
"Mizeria","263294$4.26%263.3k","7.52%","194","58.46%","1,247.7",""
"Koruptd","256635$4.15%256.6k","28.99%","195","63.29%","1,216.2",""
"Gingwizard","242206$3.92%242.2k","9.22%","192","49.20%","1,147.8",""
"Niyoko","233756$3.78%233.8k","9.98%","186","54.10%","1,107.7",""
"Raynu","232828$3.77%232.8k","16.17%","203","58.58%","1,103.3",""
"Gangbear","231137$3.74%231.1k","8.36%","183","48.49%","1,095.3",""
"Mistrogers","225812$3.65%225.8k","13.78%","186","73.40%","1,070.1",""
"Metaphor","199872$3.23%199.9k","13.85%","192","54.02%","947.2",""
