"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"91","Antelope","1336943$18.89%1.34m","29.30%","203","79","99.85%","5,009.6",""
"77","Quartus","1148195$16.22%1.15m","33.70%","201","61","99.77%","4,302.3",""
"51","Suger","942101$13.31%942.1k","30.01%","190","55","99.75%","3,530.1",""
"36","Midou","860148$12.15%860.1k","35.30%","193","32","99.30%","3,223.0",""
"84","Alloc","389092$5.50%389.1k","21.51%","195","83","98.43%","1,457.9",""
"78","Questions","317143$4.48%317.1k","41.76%","191","78","99.11%","1,188.3",""
"43","Blevinz","243266$3.44%243.3k","34.39%","195","39","97.58%","911.5",""
"40","Spicyynoodle","241313$3.41%241.3k","15.31%","196","38","77.57%","904.2",""
"83","Cowcoochie","229785$3.25%229.8k","38.43%","194","83","85.68%","861.0",""
"61","Zultan","182257$2.58%182.3k","52.93%","198","50","89.93%","682.9",""
"70","Tylelios","169521$2.40%169.5k","42.10%","196","67","92.36%","635.2",""
"72","Direcrest","162981$2.30%163.0k","72.32%","196","71","93.47%","610.7",""
"47","Tankd","140425$1.98%140.4k","25.87%","199","41","97.96%","526.2",""
"77","Venrak","139643$1.97%139.6k","46.59%","204","77","97.84%","523.2",""
"61","Happychild","86349$1.22%86.3k","14.99%","197","60","81.16%","323.6",""
"39","Sneakysoul","83460$1.18%83.5k","42.52%","203","35","93.80%","312.7",""
"17","Deviljin","81163$1.15%81.2k","33.95%","182","26","29.23%","304.1",""
"21","Kise","67670$0.96%67.7k","46.00%","197","18","98.24%","253.6",""
"27","Salocine","64933$0.92%64.9k","30.91%","202","21","26.56%","243.3",""
"23","Fallenembers","62761$0.89%62.8k","22.45%","200","23","17.98%","235.2",""
"16","Thielanth","52810$0.75%52.8k","60.92%","194","16","11.39%","197.9",""
"15","Rass","41021$0.58%41.0k","25.34%","201","11","12.14%","153.7",""
"13","Exquisite","34433$0.49%34.4k","52.04%","193","12","8.42%","129.0",""
