"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"69","Sileighty","1639157$6.17%1.64m","207","45","99.48%","5,649.2",""
"80","Cowcoochie","1582885$5.96%1.58m","207","65","99.04%","5,455.3",""
"80","Tinytotem","1499904$5.65%1.50m","205","73","99.09%","5,169.3",""
"70","Darklonfury","1497098$5.64%1.50m","211","20","99.47%","5,159.6",""
"45","Zultan","1442188$5.43%1.44m","208","12","98.81%","4,970.4",""
"58","Questions","1432038$5.39%1.43m","204","50","99.31%","4,935.4",""
"79","Metaphor","1419472$5.35%1.42m","204","74","99.35%","4,892.1",""
"62","Mowmowbeer","1349334$5.08%1.35m","206","41","99.44%","4,650.4",""
"64","Raynu","1331775$5.02%1.33m","212","14","99.64%","4,589.9",""
"63","Venrak","1325421$4.99%1.33m","210","23","93.43%","4,568.0",""
"38","Kise","1312439$4.94%1.31m","206","20","99.62%","4,523.2",""
"54","Brewcorona","1300090$4.90%1.30m","211","13","99.21%","4,480.7",""
"66","Direcrest","1272664$4.79%1.27m","201","76","99.56%","4,386.1",""
"35","Mistrogers","1257497$4.74%1.26m","200","43","99.18%","4,333.9",""
"63","Sneakysoul","1243717$4.68%1.24m","210","16","95.29%","4,286.4",""
"25","Lln","1096904$4.13%1.10m","200","36","99.35%","3,780.4",""
"21","Thielanth","1036654$3.90%1.04m","207","9","99.46%","3,572.7",""
"9","Tylelios","939937$3.54%939.9k","206","8","92.59%","3,239.4",""
"79","Alloc","855436$3.22%855.4k","204","79","99.95%","2,948.2",""
"73","Kazuzu","698964$2.63%699.0k","210","37","99.81%","2,408.9",""
"68","Tothemoon","350989$1.32%351.0k","208","46","95.90%","1,209.7",""
"53","Qenan","278941$1.05%278.9k","208","35","91.50%","961.3",""
"97","Antelope","258162$0.97%258.2k","214","85","66.03%","889.7",""
"83","Gruyere","125841$0.47%125.8k","209","73","40.99%","433.7",""
