"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","844211$18.05%844.2k","64.46%","199","87.33%","3,290.6",""
"Celestian","830664$17.76%830.7k","64.00%","195","89.35%","3,237.8",""
"Joeronin","304300$6.50%304.3k","10.39%","194","39.22%","1,186.1",""
"Tinytotem","277571$5.93%277.6k","11.31%","198","48.57%","1,081.9",""
"Tothemoon","226553$4.84%226.6k","7.89%","200","27.26%","883.1",""
"Gingwizard","224966$4.81%225.0k","11.34%","191","29.02%","876.9",""
"Darklonfury","199026$4.25%199.0k","8.79%","199","32.53%","775.8",""
"Brewcorona","183464$3.92%183.5k","5.74%","200","29.27%","715.1",""
"Gangbear","165346$3.53%165.3k","7.80%","181","23.75%","644.5",""
"Mowmowbeer","150347$3.21%150.3k","11.09%","198","20.10%","586.0",""
"Mistrogers","139385$2.98%139.4k","14.66%","186","33.26%","543.3",""
"Rolandd","136872$2.93%136.9k","11.94%","194","20.97%","533.5",""
"Koruptd","134696$2.88%134.7k","21.11%","195","24.88%","525.0",""
"Metaphor","133550$2.85%133.6k","8.88%","192","18.21%","520.6",""
"Sileighty","126911$2.71%126.9k","7.94%","201","11.35%","494.7",""
"Stimmah","121442$2.60%121.4k","8.16%","193","12.55%","473.4",""
"Niyoko","118631$2.54%118.6k","8.48%","185","16.74%","462.4",""
"Cabowabo","114900$2.46%114.9k","6.46%","195","13.01%","447.9",""
"Mizeria","113609$2.43%113.6k","6.53%","194","15.34%","442.8",""
"Raynu","104229$2.23%104.2k","8.23%","203","18.17%","406.3",""
"Freakheal","19206$0.41%19.2k","6.24%","192","1.58%","74.9",""
"Ripped Soul","8433$0.18%8.4k","-","-","3.53%","32.9",""
