"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"98","Tothemoon","1152269$23.64%1.15m","26.79%","200","96","99.72%","4,491.3",""
"92","Joeronin","1149844$23.59%1.15m","28.80%","194","91","98.77%","4,481.9",""
"52","Niyoko","817842$16.78%817.8k","28.52%","185","65","99.85%","3,187.8",""
"89","Kazuzu","475253$9.75%475.3k","18.90%","199","84","99.72%","1,852.4",""
"80","Celestian","326188$6.69%326.2k","50.59%","195","79","98.75%","1,271.4",""
"84","Mizeria","118687$2.44%118.7k","33.90%","194","84","99.06%","462.6",""
"75","Metaphor","107671$2.21%107.7k","55.85%","192","75","41.95%","419.7",""
"90","Sileighty","95694$1.96%95.7k","5.68%","201","85","52.18%","373.0",""
"90","Mowmowbeer","92516$1.90%92.5k","44.08%","198","88","74.64%","360.6",""
"85","Rolandd","88905$1.82%88.9k","10.07%","194","84","62.67%","346.5",""
"98","Darklonfury","85260$1.75%85.3k","5.51%","199","97","60.71%","332.3",""
"86","Tinytotem","60355$1.24%60.4k","0.40%","198","91","9.85%","235.3",""
"65","Koruptd","57358$1.18%57.4k","49.37%","195","63","36.30%","223.6",""
"97","Brewcorona","51719$1.06%51.7k","0.77%","200","96","58.41%","201.6",""
"78","Cabowabo","47161$0.97%47.2k","8.17%","195","81","24.61%","183.8",""
"80","Mistrogers","40220$0.83%40.2k","40.23%","186","79","56.69%","156.8",""
"85","Gingwizard","39898$0.82%39.9k","2.78%","191","84","49.23%","155.5",""
"85","Gangbear","29033$0.60%29.0k","0.20%","181","89","61.38%","113.2",""
"58","Stimmah","21040$0.43%21.0k","-","193","57","6.20%","82.0",""
"38","Raynu","16496$0.34%16.5k","31.88%","203","45","2.83%","64.3",""
