"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Sileighty","1378318$5.61%1.38m","207","72","99.31%","4,828.3",""
"78","Venrak","1344721$5.48%1.34m","210","56","99.51%","4,710.6",""
"64","Brewcorona","1247217$5.08%1.25m","211","33","99.66%","4,369.1",""
"72","Metaphor","1244852$5.07%1.24m","204","76","99.16%","4,360.8",""
"50","Zultan","1237316$5.04%1.24m","208","25","99.35%","4,334.4",""
"39","Kise","1234209$5.03%1.23m","206","34","98.26%","4,323.5",""
"53","Questions","1230206$5.01%1.23m","204","56","99.70%","4,309.5",""
"58","Mowmowbeer","1212445$4.94%1.21m","207","43","99.43%","4,247.2",""
"38","Mistrogers","1210213$4.93%1.21m","200","60","99.19%","4,239.4",""
"55","Darklonfury","1206970$4.92%1.21m","211","18","98.39%","4,228.1",""
"65","Sneakysoul","1206683$4.91%1.21m","210","26","99.68%","4,227.1",""
"65","Direcrest","1205592$4.91%1.21m","202","79","98.95%","4,223.2",""
"56","Tinytotem","1204183$4.90%1.20m","205","49","98.93%","4,218.3",""
"52","Cowcoochie","1195195$4.87%1.20m","207","36","99.34%","4,186.8",""
"31","Capzielor","1176027$4.79%1.18m","202","36","99.27%","4,119.7",""
"46","Raynu","1166218$4.75%1.17m","212","9","99.69%","4,085.3",""
"18","Thielanth","993136$4.04%993.1k","207","9","99.73%","3,479.0",""
"16","Lln","982040$4.00%982.0k","201","23","99.66%","3,440.1",""
"8","Tylelios","818880$3.33%818.9k","206","8","91.51%","2,868.6",""
"57","Alloc","756775$3.08%756.8k","204","61","99.81%","2,651.0",""
"37","Kazuzu","545430$2.22%545.4k","210","16","99.74%","1,910.7",""
"61","Tothemoon","298338$1.21%298.3k","208","50","99.50%","1,045.1",""
"27","Qenan","220842$0.90%220.8k","208","19","78.14%","773.6",""
"95","Antelope","158114$0.64%158.1k","214","84","69.31%","553.9",""
"63","Gruyere","82174$0.33%82.2k","209","58","31.54%","287.9",""
