"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","1656270$13.75%1.66m","55.40%","210","99.24%","5,802.0",""
"Alloc","1420624$11.79%1.42m","54.98%","204","99.25%","4,976.5",""
"Raynu","633342$5.26%633.3k","18.02%","212","99.27%","2,218.6",""
"Brewcorona","434091$3.60%434.1k","5.27%","211","99.03%","1,520.6",""
"Zultan","423049$3.51%423.0k","8.09%","208","99.24%","1,482.0",""
"Qenan","422346$3.51%422.3k","6.01%","208","99.24%","1,479.5",""
"Questions","405687$3.37%405.7k","5.63%","204","98.90%","1,421.1",""
"Gruyere","386130$3.21%386.1k","6.95%","209","98.92%","1,352.6",""
"Metaphor","381536$3.17%381.5k","8.77%","204","99.23%","1,336.5",""
"Direcrest","370174$3.07%370.2k","4.77%","202","98.94%","1,296.7",""
"Tinytotem","369180$3.07%369.2k","16.08%","205","99.80%","1,293.3",""
"Lln","364142$3.02%364.1k","8.96%","201","98.90%","1,275.6",""
"Venrak","361943$3.01%361.9k","9.99%","210","99.66%","1,267.9",""
"Joeronin","360092$2.99%360.1k","10.91%","200","99.27%","1,261.4",""
"Darklonfury","354055$2.94%354.1k","7.60%","211","99.28%","1,240.3",""
"Cowcoochie","353201$2.93%353.2k","6.54%","207","98.92%","1,237.3",""
"Kise","345113$2.87%345.1k","11.35%","206","98.13%","1,208.9",""
"Antelope","340928$2.83%340.9k","17.22%","214","99.27%","1,194.3",""
"Tothemoon","340923$2.83%340.9k","7.40%","208","98.90%","1,194.3",""
"Thielanth","340714$2.83%340.7k","14.25%","207","99.24%","1,193.5",""
"Sileighty","340652$2.83%340.7k","7.61%","207","98.90%","1,193.3",""
"Mistrogers","338667$2.81%338.7k","10.39%","200","98.93%","1,186.4",""
"Mowmowbeer","335143$2.78%335.1k","18.99%","207","99.21%","1,174.0",""
"Capzielor","325244$2.70%325.2k","6.08%","202","99.24%","1,139.3",""
"Sneakysoul","323336$2.68%323.3k","10.21%","210","99.24%","1,132.7",""
"Tylelios","318090$2.64%318.1k","20.14%","206","95.50%","1,114.3",""
