"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"85","Antelope","1994675$16.65%1.99m","31.40%","214","57","99.73%","6,987.4",""
"62","Joeronin","1783109$14.89%1.78m","27.27%","200","73","99.47%","6,246.3",""
"69","Qenan","1738667$14.52%1.74m","32.93%","208","57","97.92%","6,090.6",""
"66","Tothemoon","1698320$14.18%1.70m","20.87%","208","53","99.52%","5,949.3",""
"24","Gruyere","1427537$11.92%1.43m","26.14%","209","15","99.53%","5,000.7",""
"92","Kazuzu","712413$5.95%712.4k","35.32%","210","89","99.56%","2,495.6",""
"61","Alloc","568009$4.74%568.0k","46.96%","204","60","99.29%","1,989.8",""
"87","Questions","337981$2.82%338.0k","30.21%","204","87","98.90%","1,184.0",""
"99","Raynu","231591$1.93%231.6k","0.11%","212","98","90.55%","811.3",""
"89","Direcrest","210494$1.76%210.5k","71.12%","202","86","91.03%","737.4",""
"90","Zultan","165123$1.38%165.1k","2.40%","208","87","99.05%","578.4",""
"87","Sileighty","160659$1.34%160.7k","11.32%","207","84","98.90%","562.8",""
"81","Cowcoochie","111313$0.93%111.3k","-","207","78","98.88%","389.9",""
"84","Kise","99059$0.83%99.1k","8.40%","206","83","93.65%","347.0",""
"93","Tinytotem","98633$0.82%98.6k","1.49%","205","92","96.06%","345.5",""
"53","Tylelios","95075$0.79%95.1k","46.13%","206","51","79.18%","333.1",""
"36","Mowmowbeer","86043$0.72%86.0k","37.94%","207","33","98.92%","301.4",""
"40","Darklonfury","83967$0.70%84.0k","9.21%","211","26","46.47%","294.1",""
"12","Metaphor","75281$0.63%75.3k","7.96%","204","13","89.79%","263.7",""
"76","Venrak","59264$0.49%59.3k","2.75%","210","77","99.48%","207.6",""
"68","Sneakysoul","58223$0.49%58.2k","5.35%","210","67","84.18%","204.0",""
"90","Brewcorona","55524$0.46%55.5k","8.29%","211","88","96.95%","194.5",""
"49","Mistrogers","48250$0.40%48.3k","48.15%","200","48","95.29%","169.0",""
"37","Capzielor","42709$0.36%42.7k","43.26%","202","35","57.66%","149.6",""
"25","Thielanth","22637$0.19%22.6k","-","207","25","10.58%","79.3",""
"20","Lln","13665$0.11%13.7k","-","201","18","2.82%","47.9",""
