Name,ShriekDPS,ShriekHPS,ShriekDT,ShriekDPSParse,ShriekDPSIlvlParse,ShriekHPSParse,ShriekHPSIlvlParse,ShriekDeaths,ShriekFlask,ShriekFood,ShriekPot,ShriekSpace,HuntsmanDPS,HuntsmanHPS,HuntsmanDT,HuntsmanDPSParse,HuntsmanDPSIlvlParse,HuntsmanHPSParse,HuntsmanHPSIlvlParse,HuntsmanDeaths,HuntsmanFlask,HuntsmanFood,HuntsmanPot,HuntsmanSpace,HungeringDPS,HungeringHPS,HungeringDT,HungeringDPSParse,HungeringDPSIlvlParse,HungeringHPSParse,HungeringHPSIlvlParse,HungeringDeaths,HungeringFlask,HungeringFood,HungeringPot,HungeringSpace,InervaDPS,InervaHPS,InervaDT,InervaDPSParse,InervaDPSIlvlParse,InervaHPSParse,InervaHPSIlvlParse,InervaDeaths,InervaFlask,InervaFood,InervaPot,InvervaSpace,ArtificerDPS,ArtificerHPS,ArtificerDT,ArtificerDPSParse,ArtificerDPSIlvlParse,ArtificerHPSParse,ArtificerHPSIlvlParse,ArtificerDeaths,ArtificerFlask,ArtificerFood,ArtificerPot,ArtificerSpace,SunKingDPS,SunKingHPS,SunKingDT,SunKingDPSParse,SunKingDPSIlvlParse,SunKingHPSParse,SunKingHPSIlvlParse,SunKingDeaths,SunKingFlask,SunKingFood,SunKingPot,SunKingSpace,CouncilDPS,CouncilHPS,CouncilDT,CouncilDPSParse,CouncilDPSIlvlParse,CouncilHPSParse,CouncilHPSIlvlParse,CouncilDeaths,CouncilFlask,CouncilFood,CouncilPot,CouncilSpace,SludgeDPS,SludgeHPS,SludgeDT,SludgeDPSParse,SludgeDPSIlvlParse,SludgeHPSParse,SludgeHPSIlvlParse,SludgeDeaths,SludgeFlask,SludgeFood,SludgePot,SludgeSpace,StoneLegionDPS,StoneLegionHPS,StoneLegionDT,StoneLegionDPSParse,StoneLegionDPSIlvlParse,StoneLegionHPSParse,StoneLegionHPSIlvlParse,StoneLegionDeaths,StoneLegionFlask,StoneLegionFood,StoneLegionPot,StoneLegionSpace,SireDPS,SireHPS,SireDT,SireDPSParse,SireDPSIlvlParse,SireHPSParse,SireHPSIlvlParse,SireDeaths,SireFlask,SireFood,SirePot
Tinytotem,4179,218,744,95,96,80,84,,,,,,5169,272,848,80,73,82,85,,,,,,4839,1709,2152,94,97,99,99,,,,,,4218,345,1293,56,49,93,92,,,,,,3394,161,1107,43,31,74,74,,,,,,3572,561,852,57,56,95,95,,,,,,3362,233,1088,88,92,89,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venrak,3864,134,900,88,65,34,34,,,,,,4568,182,975,63,23,78,81,,,,,,4175,1001,2099,79,47,90,90,,,,,,4710,207,1267,78,56,76,77,,,,,,4060,297,1682,77,51,90,88,,,,,,4622,424,1676,82,70,97,96,,,,,,3491,205,998,79,66,82,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raynu,3858,190,829,88,57,68,69,,,,,,4589,99,668,64,14,45,54,,,,,,4341,839,2280,84,42,77,79,,,,,,4085,811,2218,46,9,99,98,,,,,,3313,257,1565,36,9,84,82,,,,,,4655,189,960,83,62,58,55,,,,,,3264,162,1008,64,31,64,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaphor,3740,131,755,95,95,15,15,,,,,,4892,82,627,79,74,4,3,,,,,,3976,477,1373,92,95,10,8,,,,,,4360,263,1336,72,76,12,13,,,,,,3759,267,920,81,85,21,19,,,,,,2797,218,1034,9,9,6,6,,,,,,2663,244,1377,48,51,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowcoochie,3685,324,964,95,95,88,84,,,,,,5455,220,1417,80,65,60,58,,,,,,3852,653,1863,86,81,34,28,,,,,,4186,389,1237,52,36,81,78,,,,,,4206,256,1043,95,96,77,76,,,,,,3405,97,869,37,29,17,16,,,,,,2468,135,1485,55,47,80,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sileighty,3576,464,928,73,47,97,95,,,,,,5649,542,1113,69,45,90,86,,,,,,4538,967,2006,84,79,66,62,,,,,,4828,562,1193,77,72,87,84,,,,,,4163,485,1357,77,69,94,93,,,,,,3505,340,1014,55,45,70,67,,,,,,2789,444,1103,40,31,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewcorona,3554,134,968,81,36,90,91,,,,,,4480,142,1168,54,13,72,72,,,,,,3585,935,2649,55,18,95,94,,,,,,4369,194,1520,64,33,90,88,,,,,,3362,50,1147,51,22,45,49,,,,,,3702,137,1292,36,14,84,84,,,,,,2765,238,1278,37,16,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneakysoul,3480,120,628,81,31,53,62,,,,,,4286,159,676,63,16,61,67,,,,,,3542,1056,1759,60,20,90,87,,,,,,4227,204,1132,65,26,68,67,,,,,,1782,99,751,7,5,37,39,,,,,,3047,207,1112,30,12,80,80,,,,,,2435,219,1174,31,15,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zultan,3458,416,1106,68,30,92,88,,,,,,4970,429,990,45,12,67,60,,,,,,3331,902,1953,32,12,58,53,,,,,,4334,578,1482,50,25,90,87,,,,,,3717,460,1355,53,31,90,88,,,,,,2826,415,965,19,9,87,85,,,,,,1939,368,1315,9,8,80,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mowmowbeer,3455,305,633,84,81,79,75,,,,,,4650,311,810,62,41,54,50,,,,,,4002,862,1610,87,85,57,51,,,,,,4247,301,1174,58,43,36,33,,,,,,3492,309,1177,62,40,63,59,,,,,,3127,474,785,15,9,74,70,,,,,,2525,350,1198,45,35,80,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darklonfury,3374,242,680,89,52,58,40,,,,,,5159,199,1287,70,20,53,52,,,,,,4184,1466,1992,95,81,89,87,,,,,,4228,294,1240,55,18,40,26,,,,,,3835,207,977,84,55,56,53,,,,,,3123,242,1224,22,9,75,69,,,,,,2224,86,1333,37,19,54,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistrogers,3322,86,682,67,81,41,38,,,,,,4333,191,666,35,43,69,66,,,,,,3876,479,1579,70,88,32,32,,,,,,4239,169,1186,38,60,49,48,,,,,,3637,194,1071,40,59,73,70,,,,,,2795,147,891,9,9,50,51,,,,,,1629,92,1041,8,11,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions,3304,499,921,66,58,35,29,,,,,,4935,1153,1575,58,50,89,88,,,,,,4329,1264,1896,80,85,37,33,,,,,,4309,1184,1421,53,56,87,87,,,,,,3084,631,1165,27,22,48,46,,,,,,472,4287,1505,92,92,23,21,,,,,,1850,532,957,8,8,32,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thielanth,3066,131,773,57,38,32,32,,,,,,3572,13,593,21,9,5,5,,,,,,3621,658,1796,52,31,54,53,,,,,,3479,79,1193,18,9,25,25,,,,,,3571,45,857,50,37,9,10,,,,,,2983,218,1025,16,9,71,70,,,,,,1962,348,1179,8,7,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kise,2929,167,758,62,47,63,60,,,,,,4523,238,646,38,20,73,72,,,,,,3003,318,1393,37,24,9,8,,,,,,4323,347,1208,39,34,84,83,,,,,,3345,302,900,39,32,86,85,,,,,,2383,324,954,7,7,92,92,,,,,,1642,294,1037,8,7,92,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lln,2829,91,696,50,77,73,69,,,,,,3780,86,1141,25,36,46,42,,,,,,3526,735,2127,52,71,85,86,,,,,,3440,47,1275,16,23,20,18,,,,,,1167,5,425,5,6,10,8,,,,,,2489,133,1116,8,9,83,85,,,,,,1771,5,941,8,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylelios,2347,215,756,45,18,69,69,,,,,,3239,189,678,9,8,27,28,,,,,,2675,422,1472,37,22,17,14,,,,,,2868,333,1114,8,8,53,51,,,,,,1941,176,944,9,7,40,40,,,,,,1700,126,517,5,4,13,11,,,,,,530,51,376,3,2,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloc,1928,994,2046,88,86,74,73,,,,,,2948,1642,4606,79,79,73,72,,,,,,2416,1579,2630,89,91,53,50,,,,,,2651,1989,4976,57,61,61,60,,,,,,1813,1944,2973,55,57,91,91,,,,,,2228,1797,3320,43,43,72,74,,,,,,1937,1814,2872,56,62,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuzu,1397,1419,2440,80,44,89,89,,,,,,2408,1647,4380,73,37,33,33,,,,,,1720,2079,3358,75,43,78,76,,,,,,1910,2495,5802,37,16,92,89,,,,,,1517,1955,3630,59,30,89,90,,,,,,1718,2911,3196,25,14,95,93,,,,,,1841,1465,2953,70,57,67,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
