"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"77","Questions","755723$6.75%755.7k","191","89","79.58%","3,257.0",""
"95","Direcrest","744691$6.66%744.7k","196","95","81.83%","3,209.5",""
"81","Venrak","730207$6.53%730.2k","204","31","76.42%","3,147.1",""
"95","Fallenembers","698288$6.24%698.3k","200","79","76.71%","3,009.5",""
"74","Happychild","696967$6.23%697.0k","197","64","79.99%","3,003.8",""
"67","Sneakysoul","672561$6.01%672.6k","203","16","79.91%","2,898.6",""
"61","Salocine","653855$5.84%653.9k","202","14","81.82%","2,818.0",""
"84","Zultan","636743$5.69%636.7k","197","62","81.24%","2,744.3",""
"52","Blevinz","625665$5.59%625.7k","195","35","79.92%","2,696.5",""
"57","Thielanth","613151$5.48%613.2k","193","63","75.27%","2,642.6",""
"55","Tankd","596793$5.33%596.8k","199","22","82.95%","2,572.1",""
"64","Cowcoochie","573949$5.13%573.9k","193","67","79.42%","2,473.6",""
"58","Exquisite","538843$4.82%538.8k","193","45","82.30%","2,322.3",""
"54","Deviljin","488843$4.37%488.8k","180","95","78.72%","2,106.8",""
"48","Tylelios","488519$4.37%488.5k","196","24","72.48%","2,105.4",""
"39","Alloc","474521$4.24%474.5k","194","23","75.91%","2,045.1",""
"23","Kise","446606$3.99%446.6k","197","9","78.46%","1,924.8",""
"82","Rass","318731$2.85%318.7k","201","56","81.75%","1,373.7",""
"58","Spicyynoodle","311943$2.79%311.9k","196","46","79.18%","1,344.4",""
"91","Antelope","82213$0.73%82.2k","203","80","68.74%","354.3",""
"56","Quartus","29393$0.26%29.4k","201","46","15.51%","126.7",""
"32","Suger","6741$0.06%6.7k","190","33","3.92%","29.1",""
"13","Midou","3854$0.03%3.9k","193","9","1.36%","16.6",""
