"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","463472$17.24%463.5k","64.25%","199","73.35%","2,430.7",""
"Celestian","299576$11.14%299.6k","58.08%","195","66.44%","1,571.1",""
"Gangbear","137422$5.11%137.4k","12.59%","181","42.10%","720.7",""
"Brewcorona","128475$4.78%128.5k","8.09%","200","40.48%","673.8",""
"Tothemoon","120251$4.47%120.3k","6.89%","200","52.92%","630.7",""
"Gingwizard","113099$4.21%113.1k","11.66%","191","47.53%","593.2",""
"Tinytotem","112420$4.18%112.4k","10.32%","198","52.27%","589.6",""
"Niyoko","111705$4.15%111.7k","9.26%","183","46.79%","585.8",""
"Rolandd","105982$3.94%106.0k","6.76%","194","40.51%","555.8",""
"Mowmowbeer","99224$3.69%99.2k","12.07%","198","41.15%","520.4",""
"Sileighty","97399$3.62%97.4k","6.18%","201","33.51%","510.8",""
"Freakheal","96803$3.60%96.8k","8.19%","192","42.48%","507.7",""
"Darklonfury","96416$3.59%96.4k","11.58%","197","35.91%","505.7",""
"Cabowabo","93907$3.49%93.9k","13.29%","195","40.45%","492.5",""
"Stimmah","89681$3.34%89.7k","10.40%","194","35.23%","470.3",""
"Joeronin","89539$3.33%89.5k","6.51%","194","34.10%","469.6",""
"Koruptd","87976$3.27%88.0k","26.93%","195","38.77%","461.4",""
"Mizeria","87313$3.25%87.3k","9.12%","194","33.51%","457.9",""
"Metaphor","86795$3.23%86.8k","11.22%","192","33.57%","455.2",""
"Raynu","86497$3.22%86.5k","14.40%","203","35.63%","453.6",""
"Mistrogers","84879$3.16%84.9k","13.88%","186","36.97%","445.2",""
