"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"83","Antelope","722990$20.74%723.0k","50.10%","203","65","99.11%","3,116.0",""
"73","Suger","660383$18.95%660.4k","41.52%","190","77","92.41%","2,846.1",""
"30","Quartus","486117$13.95%486.1k","49.67%","201","17","95.55%","2,095.1",""
"26","Midou","472113$13.55%472.1k","47.40%","193","20","99.84%","2,034.7",""
"10","Rass","174982$5.02%175.0k","36.81%","201","9","73.37%","754.1",""
"79","Blevinz","130441$3.74%130.4k","36.81%","195","76","72.06%","562.2",""
"77","Questions","128803$3.70%128.8k","41.75%","191","77","80.40%","555.1",""
"91","Direcrest","91124$2.61%91.1k","67.43%","196","91","73.83%","392.7",""
"77","Tankd","87339$2.51%87.3k","28.17%","199","71","87.13%","376.4",""
"25","Spicyynoodle","84267$2.42%84.3k","5.95%","196","26","31.68%","363.2",""
"98","Cowcoochie","83376$2.39%83.4k","3.38%","193","98","53.88%","359.3",""
"83","Zultan","79084$2.27%79.1k","1.28%","197","73","36.18%","340.8",""
"78","Alloc","62632$1.80%62.6k","71.02%","194","77","11.82%","269.9",""
"91","Tylelios","52873$1.52%52.9k","16.91%","196","90","38.75%","227.9",""
"28","Deviljin","35704$1.02%35.7k","5.20%","180","43","40.45%","153.9",""
"60","Venrak","32892$0.94%32.9k","0.63%","204","60","46.93%","141.8",""
"42","Fallenembers","27169$0.78%27.2k","-","200","41","5.29%","117.1",""
"61","Salocine","19692$0.56%19.7k","54.29%","202","60","13.39%","84.9",""
"20","Thielanth","18393$0.53%18.4k","-","193","19","2.11%","79.3",""
"35","Exquisite","13744$0.39%13.7k","78.03%","193","35","4.63%","59.2",""
"16","Kise","9639$0.28%9.6k","0.10%","197","14","46.48%","41.5",""
"38","Happychild","6181$0.18%6.2k","-","197","39","59.14%","26.6",""
"18","Sneakysoul","5477$0.16%5.5k","55.52%","203","22","58.44%","23.6",""
