"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"82","Venrak","2117704$7.42%2.12m","204","58","99.86%","3,513.9",""
"82","Sneakysoul","2083115$7.29%2.08m","204","46","97.79%","3,456.5",""
"80","Direcrest","2000367$7.01%2.00m","196","83","94.61%","3,319.2",""
"77","Cowcoochie","1932754$6.77%1.93m","194","89","96.92%","3,207.0",""
"60","Questions","1785578$6.25%1.79m","191","79","92.84%","2,962.8",""
"55","Happychild","1764835$6.18%1.76m","198","52","97.05%","2,928.4",""
"35","Kise","1740162$6.09%1.74m","197","31","94.92%","2,887.5",""
"90","Fallenembers","1699852$5.95%1.70m","200","81","87.79%","2,820.6",""
"32","Salocine","1663665$5.83%1.66m","202","9","93.78%","2,760.5",""
"30","Tankd","1625075$5.69%1.63m","199","16","95.26%","2,696.5",""
"59","Zultan","1542469$5.40%1.54m","199","38","87.60%","2,559.4",""
"24","Exquisite","1326591$4.65%1.33m","194","21","95.48%","2,201.2",""
"17","Thielanth","1307332$4.58%1.31m","197","13","92.44%","2,169.3",""
"17","Tylelios","1265228$4.43%1.27m","198","9","87.16%","2,099.4",""
"14","Alloc","1186028$4.15%1.19m","194","13","90.26%","1,968.0",""
"10","Deviljin","1048699$3.67%1.05m","185","22","58.42%","1,740.1",""
"71","Rass","1013820$3.55%1.01m","203","45","99.60%","1,682.2",""
"42","Spicyynoodle","951737$3.33%951.7k","196","43","96.27%","1,579.2",""
"1","Blevinz","169999$0.60%170.0k","195","1","9.44%","282.1",""
"90","Antelope","153534$0.54%153.5k","203","85","51.93%","254.8",""
"62","Suger","78354$0.27%78.4k","192","65","17.20%","130.0",""
"56","Quartus","62714$0.22%62.7k","201","54","19.38%","104.1",""
"20","Midou","35829$0.13%35.8k","193","22","10.56%","59.5",""
