"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Fallenembers","3066529$13.65%3.07m","15.07%","194","63.99%","4,754.8",""
"Rass","2784796$12.40%2.78m","32.99%","192","93.67%","4,317.9",""
"Tylelios","2585022$11.51%2.59m","23.64%","189","28.77%","4,008.2",""
"Exquisite","2572802$11.45%2.57m","26.50%","190","36.70%","3,989.2",""
"Spicyynoodle","2070307$9.22%2.07m","47.56%","194","93.17%","3,210.1",""
"Venrak","690283$3.07%690.3k","8.40%","198","79.19%","1,070.3",""
"Blevinz","676850$3.01%676.9k","12.25%","190","73.36%","1,049.5",""
"Happychild","645429$2.87%645.4k","6.35%","191","77.99%","1,000.8",""
"Questions","640551$2.85%640.6k","9.50%","186","71.23%","993.2",""
"Zultan","601705$2.68%601.7k","7.82%","192","66.62%","933.0",""
"Capzielor","599303$2.67%599.3k","9.94%","194","66.55%","929.2",""
"Gruyere","594909$2.65%594.9k","6.45%","192","70.13%","922.4",""
"Midou","570155$2.54%570.2k","7.87%","182","65.50%","884.1",""
"Direcrest","565624$2.52%565.6k","10.39%","191","67.18%","877.0",""
"Tankd","545879$2.43%545.9k","10.47%","196","69.83%","846.4",""
"Cowcoochie","500002$2.23%500.0k","19.46%","189","64.31%","775.3",""
"Salocine","476953$2.12%477.0k","8.03%","199","62.56%","739.5",""
"Sneakysoul","468827$2.09%468.8k","10.04%","195","62.72%","726.9",""
"Kise","461672$2.05%461.7k","11.43%","188","60.01%","715.8",""
"Quartus","459792$2.05%459.8k","14.53%","192","59.75%","712.9",""
"Rippally","452329$2.01%452.3k","8.13%","183","59.88%","701.4",""
"Antelope","436325$1.94%436.3k","19.21%","198","61.22%","676.5",""
