"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"95","Antelope","2948100$21.30%2.95m","28.63%","203","90","99.61%","4,891.8",""
"59","Quartus","2454869$17.74%2.45m","20.74%","201","43","99.94%","4,073.4",""
"58","Midou","2276868$16.45%2.28m","23.28%","193","63","99.82%","3,778.0",""
"23","Suger","1997898$14.43%2.00m","20.76%","192","27","99.72%","3,315.1",""
"74","Rass","1226405$8.86%1.23m","14.81%","203","66","99.02%","2,035.0",""
"19","Spicyynoodle","453460$3.28%453.5k","16.10%","196","18","73.26%","752.4",""
"50","Questions","359498$2.60%359.5k","33.16%","191","55","95.20%","596.5",""
"96","Tankd","340380$2.46%340.4k","15.89%","199","96","99.27%","564.8",""
"82","Direcrest","250676$1.81%250.7k","62.73%","196","82","72.78%","415.9",""
"78","Zultan","240699$1.74%240.7k","3.00%","199","70","72.16%","399.4",""
"76","Alloc","214532$1.55%214.5k","55.34%","194","77","15.12%","356.0",""
"96","Fallenembers","150893$1.09%150.9k","-","200","95","21.20%","250.4",""
"77","Cowcoochie","136378$0.99%136.4k","3.27%","194","79","69.07%","226.3",""
"48","Tylelios","126095$0.91%126.1k","25.34%","198","43","66.48%","209.2",""
"80","Thielanth","112876$0.82%112.9k","-","197","80","20.78%","187.3",""
"28","Deviljin","106305$0.77%106.3k","2.52%","185","42","38.49%","176.4",""
"82","Salocine","102565$0.74%102.6k","33.52%","202","81","78.48%","170.2",""
"65","Kise","94599$0.68%94.6k","11.14%","197","65","73.09%","157.0",""
"47","Venrak","77430$0.56%77.4k","0.05%","204","46","86.23%","128.5",""
"47","Sneakysoul","52881$0.38%52.9k","21.28%","204","47","67.72%","87.7",""
"25","Exquisite","48859$0.35%48.9k","68.66%","194","23","13.45%","81.1",""
"2","Blevinz","40987$0.30%41.0k","8.79%","195","1","7.18%","68.0",""
"34","Happychild","28121$0.20%28.1k","0.23%","198","32","78.09%","46.7",""
