"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"59","Questions","1357600$9.10%1.36m","186","96","99.03%","4,172.8",""
"70","Capzielor","1275915$8.55%1.28m","193","91","92.43%","3,921.8",""
"44","Happychild","1258311$8.43%1.26m","191","77","99.71%","3,867.6",""
"60","Salocine","1198979$8.03%1.20m","198","59","99.78%","3,685.3",""
"74","Direcrest","1175254$7.87%1.18m","190","95","98.94%","3,612.4",""
"49","Sneakysoul","1144061$7.66%1.14m","193","68","99.77%","3,516.5",""
"64","Fallenembers","1067120$7.15%1.07m","195","74","92.61%","3,280.0",""
"52","Venrak","998644$6.69%998.6k","196","55","95.65%","3,069.5",""
"36","Zultan","969550$6.50%969.6k","192","47","99.42%","2,980.1",""
"17","Kise","791960$5.31%792.0k","188","35","94.45%","2,434.2",""
"9","Blevinz","777199$5.21%777.2k","185","19","99.18%","2,388.9",""
"26","Cowcoochie","714685$4.79%714.7k","188","46","81.02%","2,196.7",""
"33","Rass","475248$3.18%475.2k","191","58","98.54%","1,460.8",""
"15","Spicyynoodle","473614$3.17%473.6k","193","22","83.81%","1,455.7",""
"5","Tankd","440202$2.95%440.2k","193","5","37.83%","1,353.0",""
"2","Exquisite","245559$1.65%245.6k","188","3","29.39%","754.8",""
"91","Gruyere","210946$1.41%210.9k","192","94","64.97%","648.4",""
"95","Antelope","200899$1.35%200.9k","193","97","87.22%","617.5",""
"2","Tylelios","95875$0.64%95.9k","187","4","17.56%","294.7",""
"38","Midou","30292$0.20%30.3k","181","52","9.82%","93.1",""
"44","Quartus","24699$0.17%24.7k","192","47","19.99%","75.9",""
