"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Rass","1320546$16.22%1.32m","47.48%","202","87.72%","4,806.1",""
"Alloc","688029$8.45%688.0k","65.08%","195","92.19%","2,504.1",""
"Tylelios","357657$4.39%357.7k","19.82%","196","76.76%","1,301.7",""
"Sneakysoul","348763$4.28%348.8k","20.55%","204","79.26%","1,269.3",""
"Quartus","340973$4.19%341.0k","26.26%","201","78.61%","1,241.0",""
"Cowcoochie","337989$4.15%338.0k","18.96%","194","95.06%","1,230.1",""
"Blevinz","327547$4.02%327.5k","17.04%","195","95.06%","1,192.1",""
"Kise","320081$3.93%320.1k","20.98%","197","57.82%","1,164.9",""
"Tankd","317666$3.90%317.7k","24.09%","199","81.31%","1,156.1",""
"Zultan","316933$3.89%316.9k","16.55%","199","78.61%","1,153.5",""
"Midou","313338$3.85%313.3k","15.99%","193","78.61%","1,140.4",""
"Exquisite","310413$3.81%310.4k","24.25%","194","68.77%","1,129.7",""
"Venrak","298890$3.67%298.9k","11.59%","204","95.75%","1,087.8",""
"Spicyynoodle","292169$3.59%292.2k","21.35%","192","86.12%","1,063.3",""
"Direcrest","291545$3.58%291.5k","21.51%","196","90.40%","1,061.1",""
"Questions","277740$3.41%277.7k","11.97%","191","78.61%","1,010.8",""
"Fallenembers","272186$3.34%272.2k","10.74%","200","78.61%","990.6",""
"Suger","265943$3.27%265.9k","22.50%","192","95.09%","967.9",""
"Salocine","262568$3.23%262.6k","19.87%","202","81.31%","955.6",""
"Thielanth","252746$3.11%252.7k","19.22%","195","78.61%","919.9",""
"Antelope","247547$3.04%247.5k","25.13%","203","78.61%","900.9",""
"Happychild","245808$3.02%245.8k","18.23%","198","78.61%","894.6",""
"Deviljin","132148$1.62%132.1k","38.95%","183","12.72%","481.0",""
