"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"97","Antelope","1638684$22.47%1.64m","27.81%","203","95","99.59%","5,964.0",""
"44","Suger","1102282$15.11%1.10m","32.02%","192","48","99.35%","4,011.8",""
"38","Quartus","1064798$14.60%1.06m","27.58%","201","21","99.52%","3,875.3",""
"13","Midou","869750$11.92%869.8k","27.20%","193","12","99.55%","3,165.5",""
"63","Rass","673488$9.23%673.5k","16.84%","202","53","95.44%","2,451.2",""
"72","Alloc","388707$5.33%388.7k","34.76%","195","72","99.19%","1,414.7",""
"89","Questions","268917$3.69%268.9k","25.58%","191","90","99.66%","978.7",""
"66","Blevinz","220988$3.03%221.0k","23.87%","195","64","98.55%","804.3",""
"97","Cowcoochie","190964$2.62%191.0k","44.11%","194","96","88.17%","695.0",""
"80","Zultan","130258$1.79%130.3k","-","199","71","78.61%","474.1",""
"59","Tankd","117183$1.61%117.2k","23.03%","199","53","99.13%","426.5",""
"82","Direcrest","109664$1.50%109.7k","61.45%","196","81","99.59%","399.1",""
"65","Kise","74995$1.03%75.0k","2.03%","197","63","52.21%","272.9",""
"62","Spicyynoodle","67082$0.92%67.1k","18.31%","192","62","82.36%","244.1",""
"51","Tylelios","66040$0.91%66.0k","19.34%","196","49","79.03%","240.4",""
"87","Fallenembers","60608$0.83%60.6k","-","200","86","19.87%","220.6",""
"54","Sneakysoul","56598$0.78%56.6k","6.55%","204","51","82.63%","206.0",""
"87","Salocine","54053$0.74%54.1k","33.52%","202","87","85.10%","196.7",""
"56","Venrak","41672$0.57%41.7k","0.47%","204","60","99.23%","151.7",""
"21","Deviljin","37522$0.51%37.5k","48.80%","183","30","3.12%","136.6",""
"47","Thielanth","34669$0.48%34.7k","-","195","46","10.44%","126.2",""
"33","Exquisite","13233$0.18%13.2k","-","194","31","1.66%","48.2",""
"29","Happychild","11958$0.16%12.0k","1.87%","198","28","84.20%","43.5",""
