"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"56","Capzielor","1233203$7.36%1.23m","194","76","99.82%","2,906.7",""
"84","Fallenembers","1213092$7.24%1.21m","194","95","91.19%","2,859.3",""
"83","Venrak","1199701$7.16%1.20m","197","87","82.14%","2,827.8",""
"58","Happychild","1180694$7.05%1.18m","191","88","99.85%","2,783.0",""
"62","Direcrest","1115617$6.66%1.12m","191","89","91.35%","2,629.6",""
"67","Cowcoochie","1064096$6.35%1.06m","189","94","93.01%","2,508.2",""
"38","Tankd","1045251$6.24%1.05m","196","41","99.64%","2,463.7",""
"29","Salocine","1039392$6.20%1.04m","199","19","99.59%","2,449.9",""
"26","Sneakysoul","955462$5.70%955.5k","195","32","99.37%","2,252.1",""
"31","Exquisite","939761$5.61%939.8k","190","49","99.49%","2,215.1",""
"33","Zultan","913384$5.45%913.4k","192","43","98.59%","2,152.9",""
"19","Blevinz","885502$5.29%885.5k","190","39","99.93%","2,087.2",""
"25","Tylelios","835719$4.99%835.7k","189","45","99.37%","1,969.9",""
"16","Questions","819224$4.89%819.2k","186","40","65.26%","1,931.0",""
"8","Kise","757475$4.52%757.5k","188","17","96.96%","1,785.4",""
"21","Spicyynoodle","530733$3.17%530.7k","194","28","99.42%","1,251.0",""
"18","Rass","448952$2.68%449.0k","192","30","99.54%","1,058.2",""
"54","Rippally","231098$1.38%231.1k","183","72","98.22%","544.7",""
"91","Antelope","123231$0.74%123.2k","198","92","71.60%","290.5",""
"81","Quartus","112767$0.67%112.8k","192","85","55.42%","265.8",""
"74","Gruyere","102989$0.61%103.0k","192","80","42.92%","242.8",""
"4","Midou","4938$0.03%4.9k","182","11","0.69%","11.6",""
