"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Kazuzu","1697269$27.17%1.70m","55.74%","202","91.54%","4,354.1",""
"Celestian","823887$13.19%823.9k","60.29%","195","61.77%","2,113.6",""
"Mowmowbeer","390527$6.25%390.5k","14.27%","198","69.16%","1,001.8",""
"Gingwizard","334558$5.36%334.6k","11.12%","192","42.93%","858.3",""
"Darklonfury","264674$4.24%264.7k","11.70%","199","32.42%","679.0",""
"Sileighty","245031$3.92%245.0k","7.08%","201","34.61%","628.6",""
"Niyoko","244326$3.91%244.3k","9.98%","188","41.36%","626.8",""
"Mizeria","237518$3.80%237.5k","11.54%","198","21.84%","609.3",""
"Stimmah","234221$3.75%234.2k","5.46%","196","26.04%","600.9",""
"Tinytotem","230000$3.68%230.0k","10.50%","198","34.71%","590.0",""
"Freakheal","226022$3.62%226.0k","13.93%","194","17.56%","579.8",""
"Brewcorona","206892$3.31%206.9k","7.46%","203","23.75%","530.8",""
"Gangbear","192141$3.08%192.1k","7.03%","185","21.93%","492.9",""
"Raynu","170326$2.73%170.3k","13.03%","203","24.31%","436.9",""
"Mistrogers","158286$2.53%158.3k","16.06%","188","28.42%","406.1",""
"Tothemoon","151814$2.43%151.8k","8.86%","202","13.64%","389.5",""
"Koruptd","145460$2.33%145.5k","26.32%","195","20.90%","373.2",""
"Rolandd","141484$2.27%141.5k","9.81%","195","10.47%","363.0",""
"Cabowabo","78211$1.25%78.2k","16.82%","195","3.32%","200.6",""
"Metaphor","73782$1.18%73.8k","18.09%","194","5.37%","189.3",""
