"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"60","Rippally","1403598$24.32%1.40m","35.87%","183","90","99.12%","3,308.4",""
"13","Antelope","938125$16.26%938.1k","50.88%","198","9","99.82%","2,211.2",""
"11","Quartus","922998$15.99%923.0k","49.80%","192","14","99.64%","2,175.6",""
"9","Gruyere","750934$13.01%750.9k","45.34%","192","9","99.70%","1,770.0",""
"9","Rass","474863$8.23%474.9k","40.57%","192","9","99.56%","1,119.3",""
"3","Midou","347021$6.01%347.0k","62.63%","182","5","49.70%","818.0",""
"19","Spicyynoodle","207277$3.59%207.3k","13.45%","194","19","12.58%","488.6",""
"83","Direcrest","127545$2.21%127.5k","82.62%","191","88","13.34%","300.6",""
"38","Tankd","112137$1.94%112.1k","39.66%","196","39","97.57%","264.3",""
"18","Blevinz","100945$1.75%100.9k","58.92%","190","24","93.09%","237.9",""
"11","Questions","80632$1.40%80.6k","63.58%","186","19","57.14%","190.1",""
"52","Zultan","79505$1.38%79.5k","8.94%","192","55","22.77%","187.4",""
"78","Venrak","60629$1.05%60.6k","11.52%","197","78","34.56%","142.9",""
"50","Capzielor","32013$0.55%32.0k","61.04%","194","49","46.01%","75.5",""
"39","Fallenembers","31991$0.55%32.0k","3.69%","194","38","1.61%","75.4",""
"29","Cowcoochie","24302$0.42%24.3k","40.99%","189","34","67.65%","57.3",""
"34","Kise","21976$0.38%22.0k","36.45%","188","43","7.97%","51.8",""
"34","Sneakysoul","16982$0.29%17.0k","43.53%","195","31","39.26%","40.0",""
"13","Tylelios","12613$0.22%12.6k","12.09%","189","17","18.60%","29.7",""
"17","Exquisite","12482$0.22%12.5k","79.14%","190","17","0.00%","29.4",""
"9","Salocine","9677$0.17%9.7k","89.09%","199","8","14.95%","22.8",""
"21","Happychild","2724$0.05%2.7k","-","191","22","20.97%","6.4",""
