"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"97","Raynu","1493700$9.06%1.49m","201","94","79.24%","3,959.5",""
"80","Koruptd","1350663$8.19%1.35m","195","78","82.20%","3,580.3",""
"80","Mowmowbeer","1347135$8.17%1.35m","198","66","80.03%","3,571.0",""
"73","Brewcorona","1298481$7.88%1.30m","202","50","73.28%","3,442.0",""
"82","Tinytotem","1189205$7.21%1.19m","198","67","75.65%","3,152.3",""
"79","Sileighty","1122510$6.81%1.12m","201","56","77.56%","2,975.5",""
"48","Darklonfury","1064777$6.46%1.06m","199","27","67.82%","2,822.5",""
"27","Mistrogers","1011668$6.14%1.01m","188","38","80.19%","2,681.7",""
"61","Rolandd","986806$5.99%986.8k","195","58","75.14%","2,615.8",""
"30","Metaphor","963401$5.84%963.4k","193","24","77.94%","2,553.8",""
"27","Gangbear","929468$5.64%929.5k","185","49","79.33%","2,463.8",""
"38","Stimmah","814827$4.94%814.8k","195","26","75.56%","2,159.9",""
"70","Celestian","766588$4.65%766.6k","195","67","78.56%","2,032.1",""
"21","Cabowabo","746910$4.53%746.9k","195","11","72.69%","1,979.9",""
"17","Gingwizard","608399$3.69%608.4k","192","14","74.15%","1,612.7",""
"46","Kazuzu","570842$3.46%570.8k","202","29","80.30%","1,513.2",""
"85","Tothemoon","128252$0.78%128.3k","188","88","28.69%","340.0",""
"52","Niyoko","45809$0.28%45.8k","188","54","9.24%","121.4",""
"63","Mizeria","33743$0.20%33.7k","196","61","11.89%","89.4",""
"15","Freakheal","13827$0.08%13.8k","193","15","0.00%","36.7",""
