"Name","Amount","Mitigated","Ilvl","Active","DTPS",""
"Rass","1121449$18.02%1.12m","42.28%","202","75.79%","2,651.3",""
"Alloc","648996$10.43%649.0k","56.24%","195","74.52%","1,534.4",""
"Tankd","308873$4.96%308.9k","21.54%","199","34.52%","730.2",""
"Midou","303101$4.87%303.1k","12.46%","193","36.08%","716.6",""
"Venrak","302252$4.86%302.3k","11.91%","204","43.56%","714.6",""
"Direcrest","252754$4.06%252.8k","19.43%","196","35.14%","597.6",""
"Salocine","252745$4.06%252.7k","15.49%","202","36.00%","597.5",""
"Happychild","239554$3.85%239.6k","13.83%","198","31.44%","566.4",""
"Questions","224988$3.62%225.0k","12.38%","191","27.81%","531.9",""
"Tylelios","223907$3.60%223.9k","16.24%","196","33.03%","529.4",""
"Suger","222983$3.58%223.0k","23.00%","190","24.43%","527.2",""
"Sneakysoul","222804$3.58%222.8k","14.49%","203","23.70%","526.8",""
"Thielanth","215199$3.46%215.2k","16.42%","195","20.13%","508.8",""
"Exquisite","214596$3.45%214.6k","18.06%","194","22.53%","507.3",""
"Kise","211882$3.41%211.9k","16.19%","197","32.68%","500.9",""
"Cowcoochie","203065$3.26%203.1k","17.08%","194","26.39%","480.1",""
"Antelope","200463$3.22%200.5k","24.11%","203","25.19%","473.9",""
"Spicyynoodle","197480$3.17%197.5k","15.63%","192","24.81%","466.9",""
"Blevinz","181315$2.91%181.3k","13.97%","195","29.87%","428.7",""
"Quartus","162823$2.62%162.8k","21.17%","201","27.15%","384.9",""
"Zultan","154022$2.48%154.0k","27.46%","198","13.80%","364.1",""
"Fallenembers","124924$2.01%124.9k","11.12%","200","9.36%","295.3",""
"Deviljin","32015$0.51%32.0k","6.55%","182","0.64%","75.7",""
