"Parse %","Name","Amount","Overheal","Ilvl","Ilvl %","Active","HPS",""
"95","Qenan","2651468$16.92%2.65m","38.04%","208","93","98.96%","7,946.2",""
"96","Antelope","2476589$15.81%2.48m","25.44%","214","77","99.63%","7,422.1",""
"64","Gruyere","1822317$11.63%1.82m","25.38%","210","48","99.51%","5,461.3",""
"17","Joeronin","1477777$9.43%1.48m","34.00%","202","17","96.59%","4,428.7",""
"23","Questions","1430506$9.13%1.43m","40.05%","204","21","99.92%","4,287.1",""
"9","Tothemoon","1177450$7.52%1.18m","33.00%","209","8","93.10%","3,528.7",""
"95","Kazuzu","971561$6.20%971.6k","14.11%","210","93","97.59%","2,911.7",""
"-","Environment","749694$4.78%749.7k","-","-","-","41.12%","2,246.8",""
"-","Essence Font","688783$4.40%688.8k","-","-","-","2.19%","2,064.2",""
"72","Alloc","599924$3.83%599.9k","38.26%","204","74","92.44%","1,797.9",""
"95","Tinytotem","187499$1.20%187.5k","2.35%","204","95","72.52%","561.9",""
"74","Mowmowbeer","158284$1.01%158.3k","48.16%","208","70","46.84%","474.4",""
"97","Venrak","141667$0.90%141.7k","0.47%","210","96","62.83%","424.6",""
"87","Zultan","138716$0.89%138.7k","10.68%","208","85","58.17%","415.7",""
"51","Direcrest","137511$0.88%137.5k","65.39%","202","53","34.25%","412.1",""
"70","Sileighty","113575$0.72%113.6k","3.02%","207","67","53.61%","340.4",""
"92","Kise","108405$0.69%108.4k","13.42%","206","92","59.24%","324.9",""
"75","Darklonfury","81014$0.52%81.0k","5.06%","211","69","10.71%","242.8",""
"6","Metaphor","72998$0.47%73.0k","9.17%","204","6","59.60%","218.8",""
"71","Thielanth","72822$0.46%72.8k","-","207","70","11.11%","218.2",""
"80","Sneakysoul","69184$0.44%69.2k","17.47%","210","80","65.86%","207.3",""
"58","Raynu","63141$0.40%63.1k","0.48%","212","55","48.57%","189.2",""
"69","Capzielor","62531$0.40%62.5k","32.13%","202","70","36.68%","187.4",""
"50","Mistrogers","49362$0.32%49.4k","51.21%","200","51","66.78%","147.9",""
"84","Brewcorona","45717$0.29%45.7k","20.40%","212","84","61.54%","137.0",""
"83","Lln","44450$0.28%44.5k","1.84%","201","85","15.49%","133.2",""
"13","Tylelios","42258$0.27%42.3k","55.05%","207","11","27.13%","126.6",""
"17","Cowcoochie","32492$0.21%32.5k","16.83%","206","16","54.98%","97.4",""
